symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-10-24 00:00:00+00:00,89.78,91.5,89.66,91.33,920034,43.1158733109,43.9418846954,43.0582446097,43.8602440353,1840068,0.0,1.0
HDB,2018-10-25 00:00:00+00:00,91.71,92.0,89.28,89.94,890408,44.0427349226,44.1820042839,42.8757537225,43.1927115793,1780816,0.0,1.0
HDB,2018-10-26 00:00:00+00:00,90.97,91.68,89.99,90.46,429024,43.6873579316,44.0283277472,43.2167235381,43.4424359513,858048,0.0,1.0
HDB,2018-10-29 00:00:00+00:00,87.88,89.74,87.44,89.45,931131,42.2034188747,43.0966637439,41.9921136368,42.9573943825,1862262,0.0,1.0
HDB,2018-10-30 00:00:00+00:00,87.82,88.74,87.28,88.47,584190,42.174604524,42.6164245669,41.9152753685,42.4867599891,1168380,0.0,1.0
HDB,2018-10-31 00:00:00+00:00,88.91,89.62,88.08,88.08,1149626,42.698065227,43.0390350426,42.2994667101,42.2994667101,2299252,0.0,1.0
HDB,2018-11-01 00:00:00+00:00,89.04,89.05,88.26,89.0,1317146,42.76049632,42.7652987117,42.3859097619,42.7412867529,2634292,0.0,1.0
HDB,2018-11-02 00:00:00+00:00,91.25,92.06,90.17,90.51,1544724,43.8218249011,44.2108186345,43.30316659,43.4664479102,3089448,0.0,1.0
HDB,2018-11-05 00:00:00+00:00,90.72,91.87,90.07,91.38,544439,43.5672981373,44.1195731909,43.2551426723,43.8842559941,1088878,0.0,1.0
HDB,2018-11-06 00:00:00+00:00,90.91,91.45,90.05,90.12,451930,43.658543581,43.9178727365,43.2455378887,43.2791546311,903860,0.0,1.0
HDB,2018-11-07 00:00:00+00:00,92.28,92.59,91.36,91.88,513628,44.3164712534,44.4653453983,43.8746512106,44.1243755826,1027256,0.0,1.0
HDB,2018-11-08 00:00:00+00:00,92.16,92.76,91.82,92.22,539187,44.2588425522,44.5469860584,44.095561232,44.2876569028,1078374,0.0,1.0
HDB,2018-11-09 00:00:00+00:00,92.05,92.62,91.06,91.51,708051,44.2060162427,44.4797525736,43.7305794575,43.9466870872,1416102,0.0,1.0
HDB,2018-11-12 00:00:00+00:00,89.64,91.38,88.67,91.38,854233,43.0486398262,43.8842559941,42.5828078245,43.8842559941,1708466,0.0,1.0
HDB,2018-11-13 00:00:00+00:00,92.14,92.22,90.4,90.44,1041267,44.2492377687,44.2876569028,43.4136216007,43.4328311678,2082534,0.0,1.0
HDB,2018-11-14 00:00:00+00:00,93.49,94.42,92.7,93.54,882628,44.8975606576,45.3441830922,44.5181717078,44.9215726165,1765256,0.0,1.0
HDB,2018-11-15 00:00:00+00:00,95.12,95.18,93.36,93.36,569983,45.6803505161,45.7091648667,44.8351295646,44.8351295646,1139966,0.0,1.0
HDB,2018-11-16 00:00:00+00:00,95.34,96.09,94.28,94.98,555045,45.7860031351,46.1461825178,45.2769496074,45.6131170313,1110090,0.0,1.0
HDB,2018-11-19 00:00:00+00:00,96.03,96.38,95.1,95.39,748859,46.1173681672,46.2854518791,45.6707457326,45.8100150939,1497718,0.0,1.0
HDB,2018-11-20 00:00:00+00:00,94.8,96.36,94.76,95.55,826196,45.5266739795,46.2758470956,45.5074644124,45.8868533622,1652392,0.0,1.0
HDB,2018-11-21 00:00:00+00:00,96.26,97.0,95.54,96.24,556563,46.2278231779,46.5832001689,45.8820509705,46.2182183944,1113126,0.0,1.0
HDB,2018-11-23 00:00:00+00:00,96.34,96.59,95.57,96.1,331001,46.2662423121,46.3863021063,45.8964581458,46.1509849096,662002,0.0,1.0
HDB,2018-11-26 00:00:00+00:00,97.14,97.5,96.77,97.19,621312,46.6504336537,46.8233197574,46.4727451582,46.6744456125,1242624,0.0,1.0
